campus,I like to study at the library on campus .
concept,I am good at dreaming up concepts but not very good at applying them!
enterprising,The company was failing until the owner's enterprising son became its leader . 
expand,The farmer wanted to expand so that he could grow more crops .
retail,A cash register is the most important piece of equipment in a retail store .
spur,The man thanked his grandfather for spurring him on to start his own business .
stationery,I'll use the stationery with my name on it to write the thank-you letter .
resource,Students who go to schools with a lot of resources are more likely to do well .
fundamental,We learn our fundamental values from our parents .
inclined,I'm inclined to believe my brother's story about being late .
investigate,"After *investigating* the fire, we think it was caused by a gas leak ."
opinion,Are you asking for my opinion ?
persuasive,I changed my mind because of your persuasive arguments .
regulation,You cannot light fireworks at the park because of the city's regulations .
theory,Dr . Bell likes to tell his *theories* to anyone who will listen .
thrive,Jacob is *thriving* in his new job .
access,You need a password to access the Internet .
content,The company's website looks good but it contains no content .
ignore,Jill is *ignoring* Bob's phone calls .
interactive,People prefer to have more interactive content today .
prominently,Her new book is displayed prominently in bookstores .
subtle,"My two dogs are both brown, with only a subtle difference in color ."
visible,"On a clear day, the ocean is visible from my house ."
virtually,*Virtually* all libraries have computers people can use for free .
consumer,Businesses use Facebook to find new consumers .
flatter,The boy flattered the girl he liked by saying her dress was pretty .
insensitive,How can you be so insensitive ?
make fun of,It was mean to *make fun of* my sister's height .
publicity,"With good publicity , a product can go from unknown to popular ."
slogan,Just do it is a very well-known slogan .
submit,The application should be submitted before August 5th .
supply,The race's organizers *supplied* water for the runners .
