syllabus,I always check the syllabus before I take the class .           
CEO,I want to become a CEO . I want to run an entire company someday .       
customer,He is a difficult customer because he always complains .            
objective,(A) What is the objective of this class? (B) It is to learn as much English as possible .   
market,Japan is still a good market for French perfume .            
statistics,I study statistics on the world population . Japan  for example  has a low birthrate .     
sense,I was able to sense what she was thinking because later she let me know I was correct about her thoughts .
accurately,It is crucial to predict the weather accurately .             
risk,This action may run a risk . The result might not be good . Please be careful .      
components,I work in making electronic components .               
tends,Natural food tends to make people healthy . You should eat it .          
brand,Apple's brand is very strong . They are world famous .            
global,The global population is growing rapidly . We can expect more people in the world in the future .
case study,We discussed the result of this *case study* . It was very surprising .         
access,I have access to the library because I have a library card .         
atmosphere,I like the cool mountain atmosphere because it makes me relaxed .          
