achievement,The Nobel Peace Prize is given to people who make great achievements .,
aspire,He has aspired to be in the Olympics since he was a young boy.,
exotic,The model has an exotic look.,
feat,The circus acrobats performed a dangerous feat, walking across a rope high in the air.
goal,The goal of this meeting is to make a the 100-meter dash.,
record,She holds the world record for decision.,
talent,Wayne has a great talent for riding horses.,
verify,The newspaper *verified* that the factory was closing.,
aggressive,Be careful; this dog is very aggressive and may bite.,
amateur,This class is for amateur photographers.,
coach,My coach wants me to run two miles before every practice.,
enthusiastic,I'm not very enthusiastic about doing the dinner dishes.,
professional, *Professional* football players must train hard.,
role model,Michael Jordan was my childhood *role model*.,
sense of humor,Jack got mad at the joke; he has no *sense of humor*.,
tournament,"The winner of the tournament receives a check for $100,000.",
accommodation,I need to look for accommodation as soon as I move to a new country.
basic,"A basic hotel room has a bed and a bathroom, and maybe an air conditioner."
eager,The little girl was eager to ride a plane for the first time.
assume,I didn’t call because I assumed you were busy.
exhausting,"I've had an exhausting day, so I'm going to bed."
fabulous,We had a fabulous time on our vacation!
possession,"Her most valuable possession is a car worth $40,000."
range,You can find a range of hair products at a beauty salon.
unique,Each person in the world has a unique personality.
authorized,You aren't authorized to be in this area.
departure,My departure for Los Angeles is at 8 a.m. tomorrow.
expire,The milk in the refrigerator expires on Tuesday.
precaution,She took the precaution of bringing a sweater in case it got cold on the trip.
purchase,I purchased my first car when I was 17.
sincere,Her love for you is sincere; she will stay with you in bad time.
vulnerable,An older person is more vulnerable to sickness.
breathe,"In the mountains, you can breathe fresh air."
complex,Economics is a very complex subject.
consist of,A team *consists of* a leader and a few followers.
illness,Did the doctor say your illness is serious? 
injury,A broken arm or leg is a very common injury in extreme sports. 
suffer,Many people suffered through the war.
surgery,My father has a weak heart and needs surgery to make him better.
treatment,"The doctor suggested a few home treatments , such as hot baths."
blind,A blind person uses a walking stick when walking down the street alone.
bounce,The pebble bounced off the surface of the water.
capable,My new washing machine is capable of washing 20 pounds of clothes at one time.
overcome,Only after Rodney overcomes his fear of water will he be able to enjoy swimming. 
phenomenon,The northern lights of Alaska and Western Canada is one natural phenomenon I hope to see one day.
refine,"Your plan is almost ready, it only needs to be refined slightly."
sensitive,I wear sunglasses because are sensitive to light.
sight,The sight in my right eye is better than in my left eye.
decorate,We decorated our house for the holidays.
display,The store displays its goods in glass cases.
precious,My time is very precious .
preserve,The ancient pot was placed in a special room to preserve it.
define,You should define your point before trying to argue it.
supplies,That farm buys its supplies of feed and grain from the local feed store.
throw away,He *threw away* the old newspapers.
universal,"Poverty is a universal problem,it happens all over the world."
approximately,My dog weighs approximately ten kilograms.
convert,I want to convert the extra bed.
detail,There is one detail in the contract that is unclear to me.
isolated,"When I want to feel isolated , I go to my house in the mountains."
loyal,The store gives special discounts to its loyal customers.
persuade,I persuaded my friend to join me on vacation.
response,"I sent a letter to my brother, but I've yet to get a response ."
switch,"To lose weight, Bill switched from regular milk to low-fat milk."
